id,vessel_id,component,component_code,job_id,work_order_no,work_order_type,template_code,execution_id,job_title,assigned_to,due_date,status,date_completed,submitted_date,task_type,maintenance_type,maintenance_basis,frequency_value,frequency_unit,approver_remarks,is_execution,template_id,approver,approval_date,rejection_date,next_due_date,next_due_reading,current_reading,class_related,job_priority,brief_work_description,data_scope,fleet_equipment_code,fleet_job_code,job_group,job_category,sfi_code,maintenance_interval_value,maintenance_interval_unit,interval_running_hour,department,criticality,is_active,scope_notes,postponement_end_date,postponement_reason,postponement_authorized_by,on_demand_reason,risk_assessment_status,safety_checklists_status,operational_forms_status,start_date_time,completion_date_time,execution_assigned_to,performed_by,no_of_persons,total_time_hours,manhours,work_carried_out,job_experience_notes,previous_reading,running_hours,running_hours_difference,reading_date,wo_execution_id,remarks,completion_remarks,rejection_comments,approval_action,driver_type,created_at,updated_at,was_rejected
WO-1770978832255-tdz7onq6n,7440571a-841a-11ed-aa7c-7003bca91a86,Ballast tanks/SW tanks No.04,285.001.04,JOB-1768375696845-n6aj2hzvt,MKR-IN-00072-285.001.04-2026-192,Standard,,,Ballast Tanks Inspection - 1M,4th Engineer,25-Feb-2026,Due,,,Maintenance,Planned,Calendar,1,Months,,f,,,,,,,,No,Low,,vessel,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,calendar,2026-02-18 23:45:14.186,2026-02-13 10:34:07.016,f
WO-1771412276386-a4m5judth,7440571a-841a-11ed-aa7c-7003bca91a86,"ME Main Bearings, Journals No.01",601.007.01,JOB-1768375697446-3txwuvutk,MKR-IN-00064-601.007.01-2026-001,Planned,MKR-IN-00064-601.007.01-2026-001,,"ME Main Bearing Clearance, Inspection - 6000H",2nd Engineer,,Due (Grace P),,,Inspection,,Running Hours,6000,Hours,,f,,,,,,6000,6050,No,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

JOB REFERENCE DETAILS
===================
Manual Name: 3M-2 DIESEL ENGINE VOL II;5303.pdf
Pdf Page No: 193,217-222
Job Reference: Group No.1140
Chapter: Maintenance Schedule Of Main Parts


DESCRIPTION
===========
1. Inspection of main bearing clearance and measurement of wear.",vessel,,,,,,,,6000,Engine,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2026-02-18 10:57:56.390434,2026-02-18 10:58:53.685,f
WO-1771412276171-glbrc0qsr,7440571a-841a-11ed-aa7c-7003bca91a86,Compressors W/Drive Unit No.01,554.003.01,JOB-1768375697040-dgqv5q487,MKR-IN-00051-554.003.01-2026-001,Planned,MKR-IN-00051-554.003.01-2026-001,,"Provision Ref. Compressors, Visual Check - 10000H",2nd Engineer,,Overdue,,,Inspection,,Running Hours,10000,Hours,,f,,,,,,10000,15035,No,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

JOB REFERENCE DETAILS
===================
Manual Name: 2F-16 UNIT TYPE PROV. REF. CHAMBER;5303.pdf
Pdf Page No: 118
Chapter: Standard Working Period & Limit Of Wear For Each Part


DESCRIPTION
===========
1. Check the Connect. Rod large and small end.
2. Check the piston and piston ring and joint part.
3. Check the Piston ring joint part clearance.",vessel,,,,,,,,10000,Engine,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2026-02-18 10:57:56.172424,2026-02-18 10:58:53.691,f
WO-1771412276022-tuuksb4ce,7440571a-841a-11ed-aa7c-7003bca91a86,Compressors W/Drive Unit No.01,554.003.01,JOB-1768375697034-wsrys4lln,MKR-IN-00050-554.003.01-2026-001,Planned,MKR-IN-00050-554.003.01-2026-001,,"Provision Ref. Compressors, Inspection - 15000H",2nd Engineer,,Overdue,,,Inspection,,Running Hours,15000,Hours,,f,,,,,,15000,15035,No,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

JOB REFERENCE DETAILS
===================
Manual Name: 2F-16 UNIT TYPE PROV. REF. CHAMBER;5303.pdf
Pdf Page No: 118
Chapter: Standard Working Period & Limit Of Wear For Each Part


DESCRIPTION
===========
1. Inspect the Crankshaft journal for bearing side and motor side.
2. Inspect the Crankshaft pin, main bearing and motor.
3. Inspect the Cylinder max. 
4. Replace the oil pump wen pressure drops.",vessel,,,,,,,,15000,Engine,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2026-02-18 10:57:56.023564,2026-02-18 10:58:53.702,f
WO-1771412275712-n4ifwx7ek,7440571a-841a-11ed-aa7c-7003bca91a86,Fire Hydrants,813.012,JOB-1771412260347-i4ex2i0oi,STD-CH-00018-813.012-2026-001,Planned,STD-CH-00018-813.012-2026-001,,Fire Hydrants Checks - 1M,3rd Officer,20-Feb-2026,Due,,,Inspection,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Check hydrant valve operation, leakage, cap condition, and accessibility.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:55.713793,2026-02-18 10:57:55.713793,f
WO-1771412275582-b01h5vw6m,7440571a-841a-11ed-aa7c-7003bca91a86,Fire Hose Box With Nozzle,813.011,JOB-1771412260332-6617yzqlj,STD-CH-00017-813.011-2026-001,Planned,STD-CH-00017-813.011-2026-001,,Fire Hose Box With Nozzle Checks - 1M,3rd Officer,20-Feb-2026,Due,,,Inspection,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Check hose condition, nozzle operation, coupling integrity, and proper stowage.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:55.583805,2026-02-18 10:57:55.583805,f
WO-1771412275423-w07uc0jtw,7440571a-841a-11ed-aa7c-7003bca91a86,Fire Main Line,813.010,JOB-1771412260325-qshxk1gco,STD-CH-00016-813.010-2026-001,Planned,STD-CH-00016-813.010-2026-001,,Fire Main Line Checks - 1M,3rd Officer,20-Feb-2026,Due,,,Overhaul,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Check pressure gauge, seal, pin condition, external damage, and servicing validity.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:55.424447,2026-02-18 10:57:55.424447,f
WO-1771412275253-wcdxd0dz0,7440571a-841a-11ed-aa7c-7003bca91a86,Wheeled CO2 Fire Extinguisher 20KG,505.001.02,JOB-1771412260281-lxkw8didd,STD-CH-00009-505.001.02-2026-001,Planned,STD-CH-00009-505.001.02-2026-001,,Portable Fire Extinguisher Checks - 1M,3rd Officer,20-Feb-2026,Due,,,Inspection,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Check pressure gauge, seal, pin condition, external damage, and servicing validity.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:55.255238,2026-02-18 10:57:55.255238,f
WO-1771412275103-i4yns6mg8,7440571a-841a-11ed-aa7c-7003bca91a86,Wheeled Foam Fire Extinguisher 45L,505.001.06,JOB-1771412260309-mkoomoqw2,STD-CH-00009-505.001.06-2026-001,Planned,STD-CH-00009-505.001.06-2026-001,,Portable Fire Extinguisher Checks - 1M,3rd Officer,20-Feb-2026,Due,,,Inspection,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Check pressure gauge, seal, pin condition, external damage, and servicing validity.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:55.104936,2026-02-18 10:57:55.104936,f
WO-1771412274984-vavoj8gdg,7440571a-841a-11ed-aa7c-7003bca91a86,Wheeled Foam Fire Extinguisher 135L,505.001.07,JOB-1771412260318-idh9n9vzx,STD-CH-00009-505.001.07-2026-001,Planned,STD-CH-00009-505.001.07-2026-001,,Portable Fire Extinguisher Checks - 1M,3rd Officer,20-Feb-2026,Due,,,Inspection,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Check pressure gauge, seal, pin condition, external damage, and servicing validity.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:54.985002,2026-02-18 10:57:54.985002,f
