id,component_id,component_code,vessel_code,job_id,job_code,work_order_id,work_order_no,job_title,maintenance_type,date_completed,running_hours_at_completion,performed_by,approved_by,approval_date,status,work_description,spares_used,remarks,is_component_replaced,created_at
1304,COMP-1768374768511-709kv1bk1,702.005.02,7440571a-841a-11ed-aa7c-7003bca91a86,JOB-1768375698538-eaypatso8,MKR-IN-00054,WO-1770967515004-y47darqfy,WO-702.005.02-2023-158,"Purifier, Routine - 1W",Servicing,2023-01-30,,3rd Engineer,,2023-02-01,Approved,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

JOB REFERENCE DETAILS
===================
Manual Name: 8M-3 INSTRUCTION MANAUL FOR PURIFIER;5303.pdf
Pdf Page No: 56
Chapter: 3. Maintenance Inspection Procedures
Section: 3.1 Routine checks

DESCRIPTION
===========
Routine Checks :
1. Check the feed rate with respect to set feed rate for any changes.
2. Check the temperature with set temperature level.
3. Check the pressure of light liquid outlet is to be coincide roughly with the set pressure of the leakage.
4. Check for any increase in vibration.
5. Check for operational noise in gear pump and bearing etc. 
6. Check the rated current on daily basis.
7. Check the gear pump oil quantity. 
8. Check the safety joint of gears for any deformation.
9. Check for oil leakage in pipe joints.
10. Check & adjust pressure LED (yellow) lit or flashing for Leakage Monitor.
11. Check indicate revolution LED (green) is flashing for Discharge Monitor.",,Minor adjustments made. Equipment performance within acceptable parameters.,f,2026-02-18 04:41:20.607717
1303,COMP-1768374768511-709kv1bk1,702.005.02,7440571a-841a-11ed-aa7c-7003bca91a86,JOB-1768375698538-eaypatso8,MKR-IN-00054,WO-1770967515004-fkme5d5e5,WO-702.005.02-2023-159,"Purifier, Routine - 1W",Servicing,2023-02-05,,3rd Engineer,,2023-02-07,Approved,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

JOB REFERENCE DETAILS
===================
Manual Name: 8M-3 INSTRUCTION MANAUL FOR PURIFIER;5303.pdf
Pdf Page No: 56
Chapter: 3. Maintenance Inspection Procedures
Section: 3.1 Routine checks

DESCRIPTION
===========
Routine Checks :
1. Check the feed rate with respect to set feed rate for any changes.
2. Check the temperature with set temperature level.
3. Check the pressure of light liquid outlet is to be coincide roughly with the set pressure of the leakage.
4. Check for any increase in vibration.
5. Check for operational noise in gear pump and bearing etc. 
6. Check the rated current on daily basis.
7. Check the gear pump oil quantity. 
8. Check the safety joint of gears for any deformation.
9. Check for oil leakage in pipe joints.
10. Check & adjust pressure LED (yellow) lit or flashing for Leakage Monitor.
11. Check indicate revolution LED (green) is flashing for Discharge Monitor.",,All checks completed as per manufacturer guidelines. Next service due as scheduled.,f,2026-02-18 04:41:20.601931
1302,COMP-1768374768225-48hk6uhgn,651.002.02,7440571a-841a-11ed-aa7c-7003bca91a86,JOB-1768375697685-xfdk7mrhe,MKR-IN-00080,WO-1770978832259-fwrb4fj1y,MKR-IN-00080-651.002.02-2023-512,AE Cylinder Covers with Valves Inspection - 1M,Maintenance,2023-02-21,,Electrican,,2023-02-24,Approved,,,All maintenance checks completed per OEM recommendations. Next scheduled service as per PMS.,f,2026-02-18 04:41:20.48867
1301,COMP-1768374767962-b363j8iop,554.003.01,7440571a-841a-11ed-aa7c-7003bca91a86,JOB-1768375697034-wsrys4lln,MKR-IN-00050,WO-1770967515016-s4a1a1i4q,WO-554.003.01-2023-466,"Provision Ref. Compressors, Inspection - 15000H",Servicing,2023-02-15,,2nd Engineer,,2023-02-16,Approved,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

JOB REFERENCE DETAILS
===================
Manual Name: 2F-16 UNIT TYPE PROV. REF. CHAMBER;5303.pdf
Pdf Page No: 118
Chapter: Standard Working Period & Limit Of Wear For Each Part


DESCRIPTION
===========
1. Inspect the Crankshaft journal for bearing side and motor side.
2. Inspect the Crankshaft pin, main bearing and motor.
3. Inspect the Cylinder max. 
4. Replace the oil pump wen pressure drops.",,Consumable parts replaced as per maintenance plan. Used parts stored for disposal.,f,2026-02-18 04:41:20.478318
1300,COMP-1768374768511-709kv1bk1,702.005.02,7440571a-841a-11ed-aa7c-7003bca91a86,JOB-1768375698538-eaypatso8,MKR-IN-00054,WO-1770967515004-3r1mwkq4d,WO-702.005.02-2023-160,"Purifier, Routine - 1W",Servicing,2023-02-14,,3rd Engineer,,2023-02-16,Approved,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

JOB REFERENCE DETAILS
===================
Manual Name: 8M-3 INSTRUCTION MANAUL FOR PURIFIER;5303.pdf
Pdf Page No: 56
Chapter: 3. Maintenance Inspection Procedures
Section: 3.1 Routine checks

DESCRIPTION
===========
Routine Checks :
1. Check the feed rate with respect to set feed rate for any changes.
2. Check the temperature with set temperature level.
3. Check the pressure of light liquid outlet is to be coincide roughly with the set pressure of the leakage.
4. Check for any increase in vibration.
5. Check for operational noise in gear pump and bearing etc. 
6. Check the rated current on daily basis.
7. Check the gear pump oil quantity. 
8. Check the safety joint of gears for any deformation.
9. Check for oil leakage in pipe joints.
10. Check & adjust pressure LED (yellow) lit or flashing for Leakage Monitor.
11. Check indicate revolution LED (green) is flashing for Discharge Monitor.",,All maintenance checks completed per OEM recommendations. Next scheduled service as per PMS.,f,2026-02-18 04:41:20.473049
1299,COMP-1768374767962-b363j8iop,554.003.01,7440571a-841a-11ed-aa7c-7003bca91a86,JOB-1768375697040-dgqv5q487,MKR-IN-00051,WO-1770967515016-ccsy8x27g,WO-554.003.01-2023-467,"Provision Ref. Compressors, Visual Check - 10000H",Servicing,2023-02-15,,2nd Engineer,,2023-02-17,Approved,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

JOB REFERENCE DETAILS
===================
Manual Name: 2F-16 UNIT TYPE PROV. REF. CHAMBER;5303.pdf
Pdf Page No: 118
Chapter: Standard Working Period & Limit Of Wear For Each Part


DESCRIPTION
===========
1. Check the Connect. Rod large and small end.
2. Check the piston and piston ring and joint part.
3. Check the Piston ring joint part clearance.",,"Equipment tested satisfactorily after completion of Provision Ref. Compressors, Visual Check - 10000H. No issues found.",f,2026-02-18 04:41:20.468798
1298,COMP-1768374768280-40p83pmvt,651.007.03,7440571a-841a-11ed-aa7c-7003bca91a86,JOB-1768375697788-a96tyddtp,MKR-IN-00015,WO-1770978832254-b9tcsb7j4,MKR-IN-00015-651.007.03-2023-040,"DG Main Bearing, Visual Check - 2Y/8000H",Maintenance,2023-03-10,,2nd Engineer,,2023-03-13,Approved,,,All equipment tested satisfactorily post-maintenance. No abnormalities detected.,f,2026-02-18 04:41:20.463584
1297,COMP-1768374768189-h7fnil0cx,601.026.02,7440571a-841a-11ed-aa7c-7003bca91a86,JOB-1768375697520-6rw5rxlia,MKR-SE-00020,WO-1770967515018-97lmey3rk,UWO-601.026.02-2023-802,ME Hp Fuel Pumps No.02 - Pipe Leakage - Welding Repair,Servicing,2023-02-20,,Chief Engineer,,2023-02-23,Approved,"Pipe leakage found in engine room. Temporary repair carried out, permanent repair planned.",,All equipment tested satisfactorily post-maintenance. No abnormalities detected.,f,2026-02-18 04:41:20.458955
1296,COMP-1768374768127-i0rmry7ao,601.004.01,7440571a-841a-11ed-aa7c-7003bca91a86,JOB-1768375697147-r1wnkg8c5,MKR-OV-00011,WO-1770967515019-blscqv0qy,UWO-601.004.01-2023-833,"ME Pistons, Piston Rods No.01 - Electrical Fault - Motor Trip",Servicing,2023-02-20,,3rd Engineer,,2023-02-22,Approved,Motor tripped on overload. Investigated and rectified fault.,,"Checks completed as per manufacturer guidelines for ME Pistons, Piston Rods No.01 - Electrical Fault - Motor Trip. Next service due as scheduled.",f,2026-02-18 04:41:20.454339
1295,COMP-1768374768230-di5x3jxz8,651.002.04,7440571a-841a-11ed-aa7c-7003bca91a86,JOB-1768375697698-z6haq29k,MKR-IN-00080,WO-1770978832259-dyf9d69ba,MKR-IN-00080-651.002.04-2023-540,AE Cylinder Covers with Valves Inspection - 1M,Maintenance,2023-03-06,,Chief Engineer,,2023-03-09,Approved,,,Checks completed as per manufacturer guidelines for AE Cylinder Covers with Valves Inspection - 1M. Next service due as scheduled.,f,2026-02-18 04:41:20.449776
